Version,AppName,Model,Release,Device,Board,Brand
NMEA-LOG-001,GPSLogger,SimulatedDrive,1.0,Generic-NMEA,CustomPCB,TestRig
Timestamp,Latitude,Longitude,AltitudeM,FixQuality,NumSats,HDOP,VDOP,PDOP,GeoidSepM,SpeedKnots,CourseDeg,MagVarDeg,DiffAge,DiffStation,NavMode
2025-01-19T14:30:00.000Z,40.867542,-124.083621,12.1,1,11,0.82,1.18,1.42,-6.3,15.3,177.5,14.2,,,3
2025-01-19T14:30:00.200Z,40.867491,-124.083612,12.0,1,11,0.82,1.18,1.42,-6.3,15.3,177.3,14.2,,,3
2025-01-19T14:30:00.400Z,40.867440,-124.083602,11.9,1,11,0.81,1.17,1.41,-6.3,15.4,177.2,14.2,,,3
2025-01-19T14:30:00.600Z,40.867388,-124.083591,11.8,1,11,0.81,1.17,1.41,-6.3,15.4,177.1,14.2,,,3
2025-01-19T14:30:00.800Z,40.867336,-124.083579,11.7,1,12,0.79,1.14,1.38,-6.3,15.5,176.9,14.2,,,3
2025-01-19T14:30:01.000Z,40.867283,-124.083566,11.6,1,12,0.79,1.14,1.38,-6.3,15.5,176.7,14.2,,,3
2025-01-19T14:30:01.200Z,40.867230,-124.083552,11.5,1,12,0.78,1.13,1.37,-6.3,15.6,176.6,14.2,,,3
2025-01-19T14:30:01.400Z,40.867176,-124.083537,11.4,1,12,0.78,1.13,1.37,-6.3,15.6,176.4,14.2,,,3
2025-01-19T14:30:01.600Z,40.867122,-124.083521,11.3,1,12,0.77,1.12,1.36,-6.3,15.7,176.3,14.2,,,3
2025-01-19T14:30:01.800Z,40.867067,-124.083504,11.2,1,12,0.77,1.12,1.36,-6.3,15.7,176.1,14.2,,,3
2025-01-19T14:30:02.000Z,40.867012,-124.083486,11.1,1,12,0.76,1.11,1.35,-6.3,15.8,175.9,14.2,,,3
2025-01-19T14:30:02.200Z,40.866956,-124.083467,11.0,1,12,0.76,1.11,1.35,-6.3,15.8,175.7,14.2,,,3
2025-01-19T14:30:02.400Z,40.866899,-124.083447,10.9,1,13,0.74,1.08,1.32,-6.3,15.9,175.5,14.2,,,3
2025-01-19T14:30:02.600Z,40.866842,-124.083426,10.8,1,13,0.74,1.08,1.32,-6.3,15.9,175.3,14.2,,,3
2025-01-19T14:30:02.800Z,40.866784,-124.083404,10.7,1,13,0.73,1.07,1.31,-6.3,16.0,175.1,14.2,,,3
2025-01-19T14:30:03.000Z,40.866726,-124.083381,10.6,1,13,0.73,1.07,1.31,-6.3,16.1,174.9,14.2,,,3
2025-01-19T14:30:03.200Z,40.866667,-124.083357,10.5,1,13,0.72,1.06,1.30,-6.3,16.1,174.7,14.2,,,3
2025-01-19T14:30:03.400Z,40.866607,-124.083332,10.4,1,13,0.72,1.06,1.30,-6.3,16.2,174.5,14.2,,,3
2025-01-19T14:30:03.600Z,40.866547,-124.083306,10.3,1,13,0.71,1.05,1.29,-6.3,16.3,174.3,14.2,,,3
2025-01-19T14:30:03.800Z,40.866486,-124.083279,10.2,1,13,0.71,1.05,1.29,-6.3,16.3,174.0,14.2,,,3
2025-01-19T14:30:04.000Z,40.866424,-124.083251,10.1,1,14,0.69,1.02,1.26,-6.3,16.4,173.8,14.2,,,3
2025-01-19T14:30:04.200Z,40.866362,-124.083222,10.0,1,14,0.69,1.02,1.26,-6.3,16.5,173.6,14.2,,,3
2025-01-19T14:30:04.400Z,40.866299,-124.083192,9.9,1,14,0.68,1.01,1.25,-6.3,16.6,173.3,14.2,,,3
2025-01-19T14:30:04.600Z,40.866235,-124.083161,9.8,1,14,0.68,1.01,1.25,-6.3,16.6,173.1,14.2,,,3
